Date,Open,High,Low,Close,Volume,Adj Close
2013-07-15,6544.899902,6657.399902,6517.399902,6630.700195,687918000,6630.700195
2013-07-08,6375.50,6585.700195,6375.50,6544.899902,625741800,6544.899902
2013-07-01,6215.50,6498.600098,6185.200195,6375.50,686155200,6375.50
2013-06-24,6116.200195,6271.799805,6023.399902,6215.50,825989600,6215.50
2013-06-17,6308.299805,6397.299805,6116.200195,6116.200195,867172900,6116.200195
2013-06-10,6412.00,6421.200195,6205.700195,6308.299805,717180700,6308.299805
2013-06-03,6583.100098,6583.100098,6313.600098,6412.00,771015100,6412.00
2013-05-27,6654.299805,6790.700195,6577.799805,6583.100098,609780900,6583.100098
2013-05-20,6723.100098,6875.600098,6640.100098,6654.299805,847881200,6654.299805
2013-05-13,6625.00,6726.899902,6602.799805,6723.100098,698259400,6723.100098
2013-05-06,6521.50,6637.799805,6521.399902,6625.00,611380000,6625.00
2013-04-29,6426.399902,6541.700195,6409.799805,6521.50,727730100,6521.50
2013-04-22,6286.600098,6467.100098,6259.00,6426.399902,671518700,6426.399902
2013-04-15,6384.399902,6384.399902,6225.200195,6286.600098,657409400,6286.600098
2013-04-08,6249.799805,6423.600098,6249.799805,6384.399902,604071300,6384.399902
2013-04-01,6411.700195,6501.799805,6214.399902,6249.799805,587683700,6249.799805
2013-03-25,6392.799805,6458.50,6344.200195,6411.700195,581081800,6411.700195
2013-03-18,6489.700195,6489.700195,6364.00,6392.799805,712715100,6392.799805
2013-03-11,6483.600098,6534.00,6437.600098,6489.700195,792402500,6489.700195
2013-03-04,6378.600098,6489.50,6333.200195,6483.600098,850768100,6483.600098
2013-02-25,6335.700195,6391.700195,6258.600098,6378.600098,898210400,6378.600098
2013-02-18,6328.299805,6412.399902,6278.00,6335.700195,665005100,6335.700195
2013-02-11,6263.899902,6384.700195,6252.299805,6328.299805,673625900,6328.299805
2013-02-04,6347.200195,6347.299805,6216.700195,6263.899902,672604400,6263.899902
2013-01-28,6284.50,6354.50,6275.50,6347.200195,672497700,6347.200195
2013-01-21,6154.399902,6284.50,6149.200195,6284.50,577171900,6284.50
2013-01-14,6121.600098,6172.50,6076.100098,6154.399902,696838000,6154.399902
2013-01-07,6089.799805,6121.600098,6053.600098,6121.600098,699453600,6121.600098
2012-12-31,5925.399902,6089.799805,5873.399902,6089.799805,367378200,6089.799805
2012-12-24,5940.00,5997.00,5915.299805,5925.399902,159498100,5925.399902
2012-12-17,5921.799805,5977.799805,5881.00,5940.00,694114800,5940.00
2012-12-10,5914.399902,5948.50,5891.299805,5921.799805,539140200,5921.799805
2012-12-03,5866.799805,5923.899902,5852.899902,5914.399902,587958100,5914.399902
2012-11-26,5819.100098,5904.399902,5755.200195,5866.799805,644668400,5866.799805
2012-11-19,5605.600098,5830.50,5605.600098,5819.100098,625576600,5819.100098
2012-11-12,5769.700195,5795.299805,5605.600098,5605.600098,841850300,5605.600098
2012-11-05,5868.600098,5921.799805,5715.200195,5769.700195,740277700,5769.700195
2012-10-29,5806.700195,5890.100098,5763.50,5868.600098,721853100,5868.600098
2012-10-22,5896.200195,5911.00,5753.299805,5806.700195,685083900,5806.700195
